Iteration, Ctrain, Ctest
0, 0.591874363441, 0.610307714997
1000, 0.0485773288612, 0.0655964809621
2000, 0.03755489209, 0.0608044323546
3000, 0.0281867763259, 0.0688087415207
4000, 0.0245585839787, 0.072564680781
5000, 0.0228717575188, 0.0736213991301
6000, 0.0214944874523, 0.0756306504347
7000, 0.0203640220674, 0.0781325992623
8000, 0.0193806814946, 0.0808272041814
9000, 0.0185742130328, 0.0830305806194
10000, 0.0179092064098, 0.0842997534076
11000, 0.0173369854077, 0.0851212851913
12000, 0.0168277016413, 0.0855950251554
13000, 0.0163514521998, 0.0856605901944
14000, 0.0158947014173, 0.0853220572304
15000, 0.0154872099154, 0.0849401062458
16000, 0.0151170143058, 0.0843707011649
17000, 0.0146518321314, 0.0814583010825
18000, 0.0140958561543, 0.0795317393106
19000, 0.0135038417495, 0.0793370664008
20000, 0.0129587231294, 0.0787711581366
21000, 0.0124859603485, 0.0805119834207
22000, 0.0121641136955, 0.0820975460503
23000, 0.0118994841959, 0.0835118352773
24000, 0.011674215722, 0.0848084753568
25000, 0.0114787563644, 0.0860154476822
26000, 0.0113066559646, 0.0871539886641
27000, 0.0111532606461, 0.0882423161422
28000, 0.0110150833195, 0.0892968752066
29000, 0.0108894325264, 0.0903330233931
30000, 0.0107741770195, 0.0913653988039
31000, 0.0106675925592, 0.0924078828401
32000, 0.0105682644922, 0.0934729791547
33000, 0.0104750323987, 0.0945704583203
34000, 0.0103869661406, 0.0957054600869
35000, 0.0103033547389, 0.0968771065769
36000, 0.0102236734244, 0.0980796001232
37000, 0.0101474895039, 0.0993072811371
38000, 0.0100743011372, 0.100562404413
39000, 0.01000336934, 0.101861207379
40000, 0.00993371244472, 0.10323112061
41000, 0.00986468559153, 0.104687752848
42000, 0.00979731739936, 0.106191728006
43000, 0.00973430292704, 0.107644039591
44000, 0.00967742270476, 0.108961666875
45000, 0.00962643946868, 0.110128391037
46000, 0.00958019895139, 0.11116970533
47000, 0.00953753965584, 0.112117126638
48000, 0.0094975797882, 0.112992560916
49000, 0.00945977340759, 0.113805331665
50000, 0.00942390448558, 0.114554994624
51000, 0.00938999109283, 0.115238178036
52000, 0.0093580975464, 0.115856079594
53000, 0.00932818560659, 0.116417139932
54000, 0.00930010118445, 0.116934007858
55000, 0.00927363859329, 0.117419147778
56000, 0.0092485961087, 0.117882391849
57000, 0.00922479953846, 0.118330537598
58000, 0.00920210556562, 0.118767918345
59000, 0.00918039754149, 0.119197159796
60000, 0.00915957991008, 0.119619803787
61000, 0.00913957333551, 0.12003674027
62000, 0.00912031092875, 0.120448481207
63000, 0.00910173544716, 0.120855325644
64000, 0.00908379723919, 0.121257456076
65000, 0.00906645273016, 0.121654993428
66000, 0.00904966329423, 0.122048027794
67000, 0.00903339440115, 0.122436635217
68000, 0.00901761496021, 0.122820886531
69000, 0.00900229680698, 0.123200851742
70000, 0.00898741429515, 0.123576601956
71000, 0.00897294396676, 0.12394820998
72000, 0.0089588642819, 0.124315750258
73000, 0.00894515539424, 0.124679298513
74000, 0.00893179896225, 0.12503893129
75000, 0.00891877798887, 0.12539472551
76000, 0.00890607668406, 0.125746758083
77000, 0.00889368034582, 0.126095105594
78000, 0.00888157525665, 0.126439844062
79000, 0.00886974859277, 0.126781048762
80000, 0.00885818834411, 0.127118794085
81000, 0.00884688324343, 0.12745315344
82000, 0.00883582270331, 0.127784199171
83000, 0.0088249967599, 0.128112002488
84000, 0.00881439602255, 0.128436633403
85000, 0.00880401162853, 0.128758160667
86000, 0.00879383520225, 0.129076651715
87000, 0.00878385881848, 0.129392172608
88000, 0.008774074969, 0.129704787976
89000, 0.00876447653237, 0.130014560968
90000, 0.00875505674645, 0.130321553213
91000, 0.00874580918344, 0.130625824776
92000, 0.008736727727, 0.130927434132
93000, 0.00872780655149, 0.131226438149
94000, 0.00871904010293, 0.131522892076
95000, 0.00871042308152, 0.131816849545
96000, 0.00870195042579, 0.132108362583
97000, 0.00869361729793, 0.132397481635
98000, 0.00868541907042, 0.132684255592
99000, 0.00867735131382, 0.13296873184
